benchmark_id,N,db_type,content_size,p50_ms,p95_ms,p99_ms,mean_ms,min_ms,max_ms,peak_rss_mb
test_benchmark_end_to_end_recall,50,sqlite,medium,12.2912,24.0832,26.2448,14.0715,9.5636,27.1318,206.3750
test_benchmark_end_to_end_recall,50,sqlite,small,15.2465,27.6274,30.9202,16.7932,9.6917,34.8808,193.7188
test_benchmark_end_to_end_recall,100,postgres,large,24.2596,34.7203,60.7749,26.3511,14.9782,90.2730,246.9844
test_benchmark_end_to_end_recall,100,postgres,medium,24.7976,34.6305,36.5146,26.4088,20.4231,36.8730,247.7656
test_benchmark_end_to_end_recall,100,postgres,small,25.0292,35.4768,35.9038,26.3770,19.1343,35.9731,251.6562
test_benchmark_end_to_end_recall,100,sqlite,large,12.3562,24.3795,26.5738,14.0761,9.7989,26.6220,248.4688
test_benchmark_end_to_end_recall,100,sqlite,medium,10.6476,23.4796,23.9592,13.1319,9.7059,24.8658,241.5625
test_benchmark_end_to_end_recall,100,sqlite,small,10.8528,24.8888,27.1347,13.4368,9.6432,27.9335,227.2500
test_benchmark_end_to_end_recall,300,postgres,large,28.9275,39.7273,74.6247,30.5877,15.3975,107.8370,511.3594
test_benchmark_end_to_end_recall,300,postgres,medium,29.1513,39.3218,41.3662,29.7551,21.8376,41.6508,510.3750
test_benchmark_end_to_end_recall,300,postgres,small,28.7179,41.5335,111.0948,31.7709,14.6407,206.5645,266.0156
test_benchmark_end_to_end_recall,300,sqlite,large,11.3444,16.4679,20.1169,12.0825,9.9269,25.5325,263.4219
test_benchmark_end_to_end_recall,300,sqlite,medium,11.8554,25.1711,27.0985,13.9652,10.3598,28.6861,261.6250
test_benchmark_end_to_end_recall,300,sqlite,small,10.6406,12.0587,13.6057,10.7981,9.9708,14.1979,248.2656
test_benchmark_end_to_end_recall,600,postgres,large,29.5061,44.2063,50.4168,31.2228,19.0540,50.4215,243.0625
test_benchmark_end_to_end_recall,600,postgres,medium,29.3107,42.5488,45.6103,30.8114,19.0087,46.2638,538.5469
test_benchmark_end_to_end_recall,600,postgres,small,27.0237,40.6234,44.7892,28.0141,18.0277,49.2318,546.4688
test_benchmark_end_to_end_recall,600,sqlite,large,12.4467,19.2251,23.6610,13.9710,11.3098,26.4492,545.0938
test_benchmark_end_to_end_recall,600,sqlite,medium,12.4770,25.3182,26.4097,14.1404,11.3671,27.3295,530.4844
test_benchmark_end_to_end_recall,600,sqlite,small,12.1582,18.7992,24.1338,13.6117,11.2128,27.6927,505.7344
test_benchmark_end_to_end_recall,1000,postgres,large,30.9499,47.7458,48.7936,33.2622,22.5967,49.3068,516.4688
test_benchmark_end_to_end_recall,1000,postgres,medium,31.6617,44.1881,105.3822,33.9178,21.0759,148.7892,267.9375
test_benchmark_end_to_end_recall,1000,postgres,small,33.3019,47.2724,51.2584,33.5983,21.2532,52.2874,256.9844
